name,section
Tianrui Arecyk,11AM
Nathan Htoifp,10AM
Woo Mkgtwl,11AM
Qicheng Nghrcb,11AM
Yufei Ajrizp,11AM
Yifei Muzioi,11AM
Michael Fwhncb,10AM
Nathan Sbyzyi,10AM
Hanna Dfyboe,11AM
Arohee Mtdplq,11AM
Izabella Lvddff,10AM
Andie Uaczen,11AM
Jessica Btihlc,10AM
Delvin Niwcgt,11AM
Laurance Vqfzvy,10AM
Hanwen Manihc,10AM
Evan Tjedms,10AM
Ishaan Nuauco,10AM
Meika Ejullt,11AM
Anya Wriutc,10AM
Naithen Fkrzui,11AM
Maya Ipcmle,10AM
Angela Qduoqj,11AM
Yankun Izlhvw,10AM
Jason Eglntp,11AM
Renee Fhlaos,11AM
Vivek Tbedny,11AM
